iter	Passed	Remaining
0	0	38
1	0	35
2	1	33
3	1	30
4	1	30
5	1	30
6	2	29
7	2	29
8	2	28
9	3	27
10	3	26
11	3	25
12	3	25
13	4	24
14	4	24
15	4	24
16	4	23
17	5	23
18	5	23
19	5	23
20	6	22
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	21
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	15	16
48	15	16
49	15	15
50	16	16
51	17	15
52	17	15
53	18	15
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	24	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	27	7
79	28	7
80	28	6
81	28	6
82	29	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	32	3
91	32	2
92	32	2
93	33	2
94	33	1
95	33	1
96	34	1
97	34	0
98	35	0
99	35	0
